"","Company","User_ID","N_Prev_Ten"
"3837","Microsoft","2983734",4
"3846","Microsoft","150186218",6
"3847","Microsoft","114809834",1
"3849","Microsoft","246805581",1
"3852","Microsoft","66710690",3
"3854","Microsoft","66123391",1
"3858","Microsoft","86885440",2
"3860","Microsoft","23756207",1
"3861","Microsoft","23836829",1
"3862","Microsoft","10458995",1
"3863","Google","10458995",2
"3868","Microsoft","777482",1
"3875","Apple","130195760",2
"3882","Google","43220427",4
"3884","Microsoft","43220427",6
"3894","Amazon","92913169",2
"3899","Microsoft","1038470",1
"3903","Microsoft","6810043",1
"3904","Microsoft","6810043",2
"3906","Google","281640767",1
"3910","Microsoft","10990040",2
"3915","Google","34296469",3
"3921","Microsoft","19407226",2
"3924","Microsoft","13708237",2
"3925","Microsoft","13708237",3
"3927","Google","7549189",2
"3929","Microsoft","7549189",4
"3932","Microsoft","25235092",2
"3949","Microsoft","153556929",4
"3956","Microsoft","6931320",4
"3960","Microsoft","25068173",3
"3961","Microsoft","25068173",4
"3963","Microsoft","25068173",6
"3966","Microsoft","4146414",3
"3970","Microsoft","20470753",3
"3993","Microsoft","62622974",4
"3995","Microsoft","196241666",1
"4000","Microsoft","3520439",2
"4003","Microsoft","31704732",3
"4009","Microsoft","48945096",6
"4013","Microsoft","90992486",2
"4016","Microsoft","9493551",3
"4029","Microsoft","80348685",2
"4036","Microsoft","5042649",1
"4037","Amazon","63394754",1
"4038","Microsoft","63394754",2
"4042","Microsoft","35406179",3
"4044","Microsoft","43493348",2
"4049","Microsoft","15273542",1
"4053","Microsoft","4218427",2
"4076","Microsoft","1585666",4
"4092","Microsoft","23796429",9
"4110","Microsoft","19185861",2
"4114","Microsoft","6874676",2
"4134","Microsoft","5091103",2
"4138","Microsoft","85943346",4
"4143","Microsoft","34223379",5
"4150","Microsoft","12977802",4
"4158","Microsoft","27685606",2
"4164","Microsoft","51973345",2
"4171","Microsoft","122343815",3
"4175","Microsoft","1134418",4
"4181","Microsoft","6932192",1
"4186","Microsoft","60719901",3
"4193","Microsoft","161867098",1
"4198","Microsoft","22770264",4
"4204","Microsoft","4404292",2
"4213","Microsoft","1360614",7
"4216","Microsoft","25287572",1
"4220","Microsoft","4646850",2
"4227","Microsoft","58643181",5
"4231","Microsoft","62567961",2
"4233","Facebook","62567961",4
"4234","Microsoft","112063339",1
"4243","Microsoft","525005",6
"4252","Microsoft","20027904",3
"4259","Microsoft","29228952",1
"4261","Microsoft","11013304",2
"4270","Microsoft","17193993",4
"4271","Microsoft","17193993",5
"4278","Microsoft","5894124",4
"4290","Microsoft","1661405",6
"4291","Microsoft","219889549",1
"4294","Microsoft","311018197",1
"4297","Microsoft","1946958",1
"4306","Microsoft","63924213",9
"4311","Microsoft","58522127",1
"4315","Microsoft","194003442",2
"4323","Microsoft","36416703",2
"4332","Microsoft","51888913",5
"4333","Microsoft","167242958",1
"4353","Microsoft","3185822",8
"4362","Microsoft","25540006",6
"4363","Microsoft","99781032",1
"4366","Google","99781032",4
"4369","Microsoft","127313014",3
"4370","Microsoft","54006635",1
"4384","Microsoft","976696",2
